Reading Profile files in /users/misc/raditya/Mar29/traces/profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0          129    11:37.571          48          48   14532748 .TAU application
100.0     1:18.410    11:37.442          48         624   14530044 main 
 84.7           75     9:51.067          48         768   12313901 ParMETIS_V3_RefineKway 
 80.9           89     9:24.135         336        7488    1678973 libparmetis__Adaptive_Partition 
 54.2           14     6:18.392       11616       11616      32575 libparmetis__gkMPI_Allreduce 
 54.2     6:18.378     6:18.378       11616           0      32574 MPI_Allreduce() 
 46.3          272     5:22.961         288      252291    1121396 libparmetis__KWayAdaptiveRefine 
 15.2           12     1:46.138        1536       15360      69100 libparmetis__ComputeParallelBalance 
 12.6            1     1:27.940        2640        2640      33311 libparmetis__GlobalSESum 
 11.8           11     1:22.280       16320       16320       5042 libparmetis__gkMPI_Waitall 
 11.8     1:22.269     1:22.269       16320           0       5041 MPI_Waitall() 
 10.0          151     1:09.814         288      218304     242410 libparmetis__Match_Global 
  8.5           40       59,135        1488        1488      39741 libparmetis__rprintf 
  8.5            1       59,095        1488        1488      39714 libparmetis__gkMPI_Barrier 
  8.5       59,093       59,093        1488           0      39713 MPI_Barrier() 
  7.3           47       50,619      107262      107262        472 libparmetis__gkMPI_Wait 
  7.2       50,572       50,572      107262           0        471 MPI_Wait() 
  7.1          150       49,231        3456      424180      14245 libparmetis__CommChangedInterfaceData 
  3.6           76       25,344         336      130706      75430 libparmetis__ComputePartitionParams 
  3.5           44       24,184        1488       95604      16253 libparmetis__CommInterfaceData 
  2.5           75       17,153         288       41964      59559 libparmetis__CreateCoarseGraph_Global 
  2.2          180       15,473          48         911     322373 ParallelReadGraph 
  2.0           96       14,151         336       27972      42117 libparmetis__CommSetup 
  1.9       13,272       13,272         235           0      56480 MPI_Recv() 
  1.9           10       12,977          48         192     270363 libparmetis__PrintPostPartInfo 
  1.8        0.247       12,896         336         336      38382 libparmetis__GlobalSEMin 
  1.8        0.314       12,789         384         384      33306 libparmetis__GlobalSEMax 
  1.8        0.201       12,316         188         188      65511 libparmetis__gkMPI_Recv 
  1.2        0.549        8,707         336         336      25917 libparmetis__gkMPI_Alltoall 
  1.2        8,707        8,707         336           0      25915 MPI_Alltoall() 
  1.2          151        8,224          48         284     171340 WritePVector 
  1.1        7,388        7,388         235           0      31439 MPI_Send() 
  1.0        0.414        7,173         288         288      24908 libparmetis__gkMPI_Allgather 
  1.0        7,173        7,173         288           0      24907 MPI_Allgather() 
  0.8        5,610        5,610          96           0      58448 MPI_Comm_dup() 
  0.8            3        5,534          48         432     115296 libparmetis__SetupGraph 
  0.7            5        5,214          48         624     108643 libparmetis__Mc_ComputeMoveStatistics 
  0.5           13        3,824          48         192      79675 libparmetis__CheckInputsPartKway 
  0.5         0.54        3,810          48          48      79390 libparmetis__GlobalSESumComm 
  0.4            7        2,897          48         480      60363 libparmetis__SetupCtrl 
  0.4            1        2,711        1344        1344       2018 libparmetis__gkMPI_Bcast 
  0.4        2,710        2,710        1344           0       2017 MPI_Bcast() 
  0.4         0.06        2,471          48         144      51500 libparmetis__SetupCtrl_invtvwgts 
